"REF_DATE","GEO","DGUID","Standard Classification of Goods (SCG)","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1958-01","Canada","","Acetylene in cylinders or for delivery by pipeline","Tonnes","288","thousands","3","v39232","1.31","433","","","t","0"
"1958-01","Canada","","Hydrochloric (muriatic) acid, 100%","Tonnes","288","units ","0","v39269","1.1","1313","","","","0"
"1958-01","Canada","","Sulphuric acid, all grades, including oleum, as 100%","Tonnes","288","units ","0","v39273","1.2","107772","","","","0"
"1958-01","Canada","","Ammonia, anhydrous, 100%","Tonnes","288","units ","0","v39284","1.3","27145","","","","0"
"1958-01","Canada","","Ammonium sulphate","Tonnes","288","units ","0","v39291","1.33","21768","","","t","0"
"1958-01","Canada","","Chlorine","Tonnes","288","units ","0","v39233","1.7","17258","","","","0"
"1958-01","Canada","","Fertilizers, mixed","Tonnes","288","units ","0","v39248","1.34","47843","","","t","0"
"1958-01","Canada","","Formaldehyde, 100% solids basis","Tonnes","288","units ","0","v39251","1.9","1472","","","","0"
"1958-01","Canada","","Oxygen, gas and liquid in cylinders or by delivery","Tonnes","288","thousands","3","v39261","1.35","2954","","","t","0"
"1958-01","Canada","","Sodium hydroxide (caustic soda), as 100% NaOH","Tonnes","288","units ","0","v39263","1.11","20446","","","","0"
"1958-02","Canada","","Acetylene in cylinders or for delivery by pipeline","Tonnes","288","thousands","3","v39232","1.31","401","","","t","0"
"1958-02","Canada","","Hydrochloric (muriatic) acid, 100%","Tonnes","288","units ","0","v39269","1.1","1395","","","","0"
"1958-02","Canada","","Sulphuric acid, all grades, including oleum, as 100%","Tonnes","288","units ","0","v39273","1.2","104197","","","","0"
"1958-02","Canada","","Ammonia, anhydrous, 100%","Tonnes","288","units ","0","v39284","1.3","24747","","","","0"
"1958-02","Canada","","Ammonium sulphate","Tonnes","288","units ","0","v39291","1.33","23444","","","t","0"
"1958-02","Canada","","Chlorine","Tonnes","288","units ","0","v39233","1.7","17446","","","","0"
"1958-02","Canada","","Fertilizers, mixed","Tonnes","288","units ","0","v39248","1.34","59011","","","t","0"
"1958-02","Canada","","Formaldehyde, 100% solids basis","Tonnes","288","units ","0","v39251","1.9","1588","","","","0"
"1958-02","Canada","","Oxygen, gas and liquid in cylinders or by delivery","Tonnes","288","thousands","3","v39261","1.35","2708","","","t","0"
"1958-02","Canada","","Sodium hydroxide (caustic soda), as 100% NaOH","Tonnes","288","units ","0","v39263","1.11","19994","","","","0"
"1958-03","Canada","","Acetylene in cylinders or for delivery by pipeline","Tonnes","288","thousands","3","v39232","1.31","412","","","t","0"
"1958-03","Canada","","Hydrochloric (muriatic) acid, 100%","Tonnes","288","units ","0","v39269","1.1","1863","","","","0"
"1958-03","Canada","","Sulphuric acid, all grades, including oleum, as 100%","Tonnes","288","units ","0","v39273","1.2","114902","","","","0"
"1958-03","Canada","","Ammonia, anhydrous, 100%","Tonnes","288","units ","0","v39284","1.3","28558","","","","0"
"1958-03","Canada","","Ammonium sulphate","Tonnes","288","units ","0","v39291","1.33","29681","","","t","0"
"1958-03","Canada","","Chlorine","Tonnes","288","units ","0","v39233","1.7","21401","","","","0"
"1958-03","Canada","","Fertilizers, mixed","Tonnes","288","units ","0","v39248","1.34","66182","","","t","0"
"1958-03","Canada","","Formaldehyde, 100% solids basis","Tonnes","288","units ","0","v39251","1.9","1817","","","","0"
"1958-03","Canada","","Oxygen, gas and liquid in cylinders or by delivery","Tonnes","288","thousands","3","v39261","1.35","2897","","","t","0"
"1958-03","Canada","","Sodium hydroxide (caustic soda), as 100% NaOH","Tonnes","288","units ","0","v39263","1.11","24275","","","","0"
"1958-04","Canada","","Acetylene in cylinders or for delivery by pipeline","Tonnes","288","thousands","3","v39232","1.31","410","","","t","0"
"1958-04","Canada","","Hydrochloric (muriatic) acid, 100%","Tonnes","288","units ","0","v39269","1.1","1679","","","","0"
