Date,Max Temp (C),Min Temp (C),Rain (mm),Snow (cm)
2022-01-01,4.5,-3.2,0.2,2.8
2022-01-02,-2.9,-12.3,0.0,2.6
2022-01-03,-6.6,-15.1,0.0,0.0
2022-01-04,2.5,-7.8,0.0,0.0
2022-01-05,4.1,-5.8,0.8,0.0
2022-01-06,,,0.0,0.0
2022-01-07,,,0.0,0.0
2022-01-08,0.6,-15.0,0.0,0.0
2022-01-09,3.6,-7.9,0.0,0.0
2022-01-10,-7.1,-18.5,0.0,0.2
2022-01-11,-3.9,-21.1,0.0,0.2
2022-01-12,1.8,-3.8,0.0,0.0
2022-01-13,0.9,-3.6,0.0,0.0
2022-01-14,-1.6,-19.1,0.0,0.0
2022-01-15,-13.1,-21.1,0.0,0.0
2022-01-16,-1.4,-15.5,0.0,5.2
2022-01-17,-2.8,-6.0,0.0,29.2
2022-01-18,-1.0,-11.5,0.0,1.2
2022-01-19,3.8,-8.9,0.0,0.0
2022-01-20,-8.8,-18.7,0.0,0.0
2022-01-21,-9.8,-20.0,0.0,0.0
2022-01-22,-4.6,-18.8,0.0,0.4
2022-01-23,-5.2,-17.8,0.0,0.0
2022-01-24,-5.5,-17.7,0.0,5.6
2022-01-25,-7.3,-15.4,0.0,0.0
2022-01-26,,,0.0,0.0
2022-01-27,-3.9,-13.9,0.0,0.4
2022-01-28,-4.3,-18.0,0.0,0.0
2022-01-29,-11.5,-21.2,0.0,0.0
2022-01-30,-4.9,-14.8,0.0,0.0
2022-01-31,-0.9,-7.0,0.0,0.0
2022-02-01,4.7,-9.1,0.0,0.0
2022-02-02,4.6,-3.0,5.4,8.0
2022-02-03,-3.0,-10.5,0.0,7.2
2022-02-04,-10.5,-14.0,0.0,0.4
2022-02-05,-7.2,-15.4,0.0,0.0
2022-02-06,-0.2,-7.2,0.0,0.0
2022-02-07,,,,
2022-02-08,-0.4,-5.5,0.0,0.0
2022-02-09,6.0,-5.5,0.0,0.0
2022-02-10,2.8,-0.8,0.0,0.0
2022-02-11,3.5,-1.4,4.8,0.2
2022-02-12,2.5,-13.5,0.8,1.0
2022-02-13,-9.2,-16.6,0.0,0.2
2022-02-14,-9.6,-16.5,0.0,0.0
2022-02-15,-3.3,-11.3,0.0,0.0
2022-02-16,10.7,-3.8,0.2,0.0
2022-02-17,7.2,-5.2,26.2,13.4
2022-02-18,-4.8,-10.5,0.0,5.4
2022-02-19,-2.0,-11.3,0.0,4.6
2022-02-20,6.9,-9.5,0.0,0.0
2022-02-21,6.2,-0.6,0.0,0.0
2022-02-22,9.2,-0.8,9.4,0.0
2022-02-23,,,0.0,0.0
2022-02-24,-5.2,-11.6,0.0,0.0
2022-02-25,-5.5,-12.9,0.0,6.6
2022-02-26,-2.2,-13.4,0.0,0.0
2022-02-27,0.4,-7.9,0.0,1.0
2022-02-28,-3.8,-13.7,0.0,0.0
2022-03-01,5.2,-3.8,0.0,0.0
2022-03-02,3.0,-5.0,0.0,1.2
2022-03-03,-4.6,-10.4,0.0,0.0
2022-03-04,1.3,-10.9,0.0,0.0
2022-03-05,3.2,-3.7,0.0,0.0
2022-03-06,16.0,-0.2,2.2,0.0
2022-03-07,2.7,-1.8,3.0,2.6
2022-03-08,2.6,-4.1,0.0,0.4
2022-03-09,5.2,-2.7,0.0,0.0
2022-03-10,4.2,-3.4,0.0,0.0
2022-03-11,-0.7,-3.5,0.0,5.8
2022-03-12,-3.3,-9.1,0.0,0.2
2022-03-13,-0.3,-10.4,0.0,1.4
2022-03-14,6.5,-4.7,0.0,0.0
2022-03-15,1.5,0.2,0.2,10.0
2022-03-16,2.5,-1.2,0.0,0.0
2022-03-17,17.3,-0.4,0.0,0.0
2022-03-18,14.3,5.6,0.0,0.0
2022-03-19,8.8,3.8,5.6,0.0
2022-03-20,11.9,0.8,0.6,0.0
2022-03-21,13.1,-0.7,0.0,0.0
2022-03-22,5.8,-2.9,0.0,0.0
2022-03-23,4.0,0.8,19.6,0.8
2022-03-24,11.4,3.4,0.0,0.0
2022-03-25,5.9,2.1,0.0,0.0
2022-03-26,7.0,-1.7,2.0,0.0
