Date,Max Temp (°C),Min Temp (°C),Rain (mm),Snow (cm)
2023-01-01,4.2,2.2,2.8,0
2023-01-02,5.1,1.9,0,0
2023-01-03,4,0.4,4,0
2023-01-04,3.7,2.1,20.8,0
2023-01-05,4.2,2.3,1.2,0
2023-01-06,4.2,1.5,0.2,0
2023-01-07,2.1,-5,0,0
2023-01-08,-2.2,-5.9,0,0
2023-01-09,1.2,-2.8,0,0
2023-01-10,0.8,-2.4,0,0
2023-01-11,1.4,-5.1,0,0.2
2023-01-12,3.6,-0.5,3.4,2.8
2023-01-13,-0.5,-9.4,0,4.6
2023-01-14,-3.2,-10.6,0,0
2023-01-15,-1.4,-11,0,0
2023-01-16,1.8,-7.4,0,0
2023-01-17,4.4,0.2,3.6,0.2
2023-01-18,4.9,1.4,0.2,0
2023-01-19,3.3,1,3,0.2
2023-01-20,2.6,-1.5,1.4,0
2023-01-21,0.2,-2,0,0
2023-01-22,1.3,-2.8,0,2.8
2023-01-23,2,-3.2,0,0
2023-01-24,3.2,-2.2,0,0.2
2023-01-25,1.4,-2.1,1.2,13.8
2023-01-26,1.4,-3.8,0,1.2
2023-01-27,0.4,-2.9,0,1.2
2023-01-28,2.1,-2.8,0,0.4
2023-01-29,0.3,-7.5,0,8.4
2023-01-30,-2.4,-10.2,0,0.2
2023-01-31,-5.9,-14,0,0
