"Date","Good","Scale","Value"
"1958-01","Acetylene in cylinders or for delivery by pipeline","thousands","433"
"1958-01","Hydrochloric (muriatic) acid, 100%","units ","1313"
"1958-01","Sulphuric acid, all grades, including oleum, as 100%","units ","107772"
"1958-01","Ammonia, anhydrous, 100%","units ","27145"
"1958-01","Ammonium sulphate","units ","21768"
"1958-01","Chlorine","units ","17258"
"1958-01","Fertilizers, mixed","units ","47843"
"1958-01","Formaldehyde, 100% solids basis","units ","1472"
"1958-01","Oxygen, gas and liquid in cylinders or by delivery","thousands","2954"
"1958-01","Sodium hydroxide (caustic soda), as 100% NaOH","units ","20446"
"1958-02","Acetylene in cylinders or for delivery by pipeline","thousands","401"
"1958-02","Hydrochloric (muriatic) acid, 100%","units ","1395"
"1958-02","Sulphuric acid, all grades, including oleum, as 100%","units ","104197"
"1958-02","Ammonia, anhydrous, 100%","units ","24747"
"1958-02","Ammonium sulphate","units ","23444"
"1958-02","Chlorine","units ","17446"
"1958-02","Fertilizers, mixed","units ","59011"
"1958-02","Formaldehyde, 100% solids basis","units ","1588"
"1958-02","Oxygen, gas and liquid in cylinders or by delivery","thousands","2708"
"1958-02","Sodium hydroxide (caustic soda), as 100% NaOH","units ","19994"
"1958-03","Acetylene in cylinders or for delivery by pipeline","thousands","412"
"1958-03","Hydrochloric (muriatic) acid, 100%","units ","1863"
"1958-03","Sulphuric acid, all grades, including oleum, as 100%","units ","114902"
"1958-03","Ammonia, anhydrous, 100%","units ","28558"
"1958-03","Ammonium sulphate","units ","29681"
"1958-03","Chlorine","units ","21401"
"1958-03","Fertilizers, mixed","units ","66182"
"1958-03","Formaldehyde, 100% solids basis","units ","1817"
"1958-03","Oxygen, gas and liquid in cylinders or by delivery","thousands","2897"
"1958-03","Sodium hydroxide (caustic soda), as 100% NaOH","units ","24275"
"1958-04","Acetylene in cylinders or for delivery by pipeline","thousands","410"
"1958-04","Hydrochloric (muriatic) acid, 100%","units ","1679"
"1958-04","Sulphuric acid, all grades, including oleum, as 100%","units ","115653"
"1958-04","Ammonia, anhydrous, 100%","units ","29981"
"1958-04","Ammonium sulphate","units ","26307"
"1958-04","Chlorine","units ","20816"
"1958-04","Fertilizers, mixed","units ","98857"
"1958-04","Formaldehyde, 100% solids basis","units ","1537"
"1958-04","Oxygen, gas and liquid in cylinders or by delivery","thousands","2877"
"1958-04","Sodium hydroxide (caustic soda), as 100% NaOH","units ","23683"
"1958-05","Acetylene in cylinders or for delivery by pipeline","thousands","433"
"1958-05","Hydrochloric (muriatic) acid, 100%","units ","1371"
"1958-05","Sulphuric acid, all grades, including oleum, as 100%","units ","116531"
"1958-05","Ammonia, anhydrous, 100%","units ","29127"
"1958-05","Ammonium sulphate","units ","25372"
"1958-05","Chlorine","units ","20979"
"1958-05","Fertilizers, mixed","units ","73257"
"1958-05","Formaldehyde, 100% solids basis","units ","1737"
"1958-05","Oxygen, gas and liquid in cylinders or by delivery","thousands","3022"
"1958-05","Sodium hydroxide (caustic soda), as 100% NaOH","units ","23844"
"1958-06","Acetylene in cylinders or for delivery by pipeline","thousands","417"
"1958-06","Hydrochloric (muriatic) acid, 100%","units ","1062"
"1958-06","Sulphuric acid, all grades, including oleum, as 100%","units ","120591"
"1958-06","Ammonia, anhydrous, 100%","units ","26463"
"1958-06","Ammonium sulphate","units ","23609"
"1958-06","Chlorine","units ","20117"
"1958-06","Fertilizers, mixed","units ","25500"
"1958-06","Formaldehyde, 100% solids basis","units ","1986"
"1958-06","Oxygen, gas and liquid in cylinders or by delivery","thousands","2763"
"1958-06","Sodium hydroxide (caustic soda), as 100% NaOH","units ","22762"
"1958-07","Acetylene in cylinders or for delivery by pipeline","thousands","403"
"1958-07","Hydrochloric (muriatic) acid, 100%","units ","1186"
"1958-07","Sulphuric acid, all grades, including oleum, as 100%","units ","108159"
"1958-07","Ammonia, anhydrous, 100%","units ","34490"
"1958-07","Ammonium sulphate","units ","27618"
"1958-07","Chlorine","units ","18859"
"1958-07","Fertilizers, mixed","units ","18389"
"1958-07","Formaldehyde, 100% solids basis","units ","1187"
"1958-07","Oxygen, gas and liquid in cylinders or by delivery","thousands","2683"
"1958-07","Sodium hydroxide (caustic soda), as 100% NaOH","units ","22177"
"1958-08","Acetylene in cylinders or for delivery by pipeline","thousands","415"
"1958-08","Hydrochloric (muriatic) acid, 100%","units ","1304"
"1958-08","Sulphuric acid, all grades, including oleum, as 100%","units ","125143"
"1958-08","Ammonia, anhydrous, 100%","units ","20572"
"1958-08","Ammonium sulphate","units ","28403"
"1958-08","Chlorine","units ","20618"
"1958-08","Fertilizers, mixed","units ","25185"
"1958-08","Formaldehyde, 100% solids basis","units ","1619"
"1958-08","Oxygen, gas and liquid in cylinders or by delivery","thousands","2360"
"1958-08","Sodium hydroxide (caustic soda), as 100% NaOH","units ","24162"
"1958-09","Acetylene in cylinders or for delivery by pipeline","thousands","424"
"1958-09","Hydrochloric (muriatic) acid, 100%","units ","1035"
"1958-09","Sulphuric acid, all grades, including oleum, as 100%","units ","116608"
"1958-09","Ammonia, anhydrous, 100%","units ","22127"
"1958-09","Ammonium sulphate","units ","25154"
"1958-09","Chlorine","units ","21099"
"1958-09","Fertilizers, mixed","units ","48167"
"1958-09","Formaldehyde, 100% solids basis","units ","2098"
"1958-09","Oxygen, gas and liquid in cylinders or by delivery","thousands","2485"
"1958-09","Sodium hydroxide (caustic soda), as 100% NaOH","units ","24647"
"1958-10","Acetylene in cylinders or for delivery by pipeline","thousands","455"
"1958-10","Hydrochloric (muriatic) acid, 100%","units ","1202"
"1958-10","Sulphuric acid, all grades, including oleum, as 100%","units ","103972"
"1958-10","Ammonia, anhydrous, 100%","units ","23846"
"1958-10","Ammonium sulphate","units ","20130"
"1958-10","Chlorine","units ","22876"
"1958-10","Fertilizers, mixed","units ","56277"
"1958-10","Formaldehyde, 100% solids basis","units ","1776"
"1958-10","Oxygen, gas and liquid in cylinders or by delivery","thousands","2699"
"1958-10","Sodium hydroxide (caustic soda), as 100% NaOH","units ","26030"
"1958-11","Acetylene in cylinders or for delivery by pipeline","thousands","411"
