"Year","Commodity","Unit","Value"
"1960","Wheat flour","Kilograms per person, per year","59.19"
"1960","Rye flour","Kilograms per person, per year","0.46"
"1960","Oatmeal and rolled oats","Kilograms per person, per year","2.15"
"1960","Pot and pearl barley","Kilograms per person, per year","0.09"
"1960","Corn flour and meal","Kilograms per person, per year","0.75"
"1960","Rice","Kilograms per person, per year","2.00"
"1960","Breakfast food","Kilograms per person, per year","3.05"
"1960","Sugar refined","Kilograms per person, per year","42.67"
"1960","Sugar refined, sugar content","Kilograms per person, per year","42.67"
"1960","Maple sugar","Kilograms per person, per year","0.30"
"1960","Maple sugar, sugar content","Kilograms per person, per year","0.26"
"1960","Honey","Kilograms per person, per year","0.80"
"1960","Honey, sugar content","Kilograms per person, per year","0.62"
"1960","Dry beans","Kilograms per person, per year","0.70"
"1960","Baked and canned beans","Kilograms per person, per year","2.88"
"1960","Dry peas","Kilograms per person, per year","0.75"
"1960","Peanuts","Kilograms per person, per year","2.04"
"1960","Tree nuts","Kilograms per person, per year","0.56"
"1960","Tea","Litres per person, per year","85.09"
"1960","Tea, leaf equivalent","Kilograms per person, per year","1.09"
"1960","Coffee, green bean equivalent","Kilograms per person, per year","3.79"
"1960","Cocoa, green bean equivalent","Kilograms per person, per year","1.30"
"1960","Ale, beer, stout and porter, total population","Litres per person, per year","59.77"
"1960","Ale, beer, stout and porter, population 15 years old and over","Litres per person, per year","90.41"
"1960","Distilled spirits, total population","Litres per person, per year","3.74"
"1960","Distilled spirits, population 15 years old and over","Litres per person, per year","5.66"
"1960","Wines, total population","Litres per person, per year","2.11"
"1960","Wines, population 15 years old and over","Litres per person, per year","3.19"
"1960","Cheddar cheese","Kilograms per person, per year","1.28"
"1960","Cheddar cheese, milk solids","Kilograms per person, per year","0.81"
"1960","Processed cheese","Kilograms per person, per year","1.40"
"1960","Processed cheese, milk solids","Kilograms per person, per year","0.85"
"1960","Variety cheese","Kilograms per person, per year","0.58"
"1960","Variety cheese, milk solids","Kilograms per person, per year","0.29"
"1960","Cottage cheese","Kilograms per person, per year","0.57"
"1960","Cottage cheese, milk solids","Kilograms per person, per year","0.12"
"1960","Powder skim milk","Kilograms per person, per year","3.11"
"1960","Powder skim milk, milk solids","Kilograms per person, per year","2.98"
"1960","Powder buttermilk","Kilograms per person, per year","0.20"
"1960","Powder buttermilk, milk solids","Kilograms per person, per year","0.19"
"1960","Powder whey","Kilograms per person, per year","0.31"
"1960","Powder whey, milk solids","Kilograms per person, per year","0.30"
"1960","Concentrated whole milk","Litres per person, per year","7.43"
"1960","Concentrated whole milk, milk solids","Kilograms per person, per year","2.06"
"1960","Sweetened concentrated whole milk","Litres per person, per year","0.34"
"1960","Sweetened concentrated whole milk, milk solids","Kilograms per person, per year","0.10"
"1960","Concentrated skim milk","Litres per person, per year","0.07"
"1960","Concentrated skim milk, milk solids","Kilograms per person, per year","0.01"
"1960","Sweetened concentrated skim milk","Litres per person, per year",
"1960","Sweetened concentrated skim milk, milk solids","Kilograms per person, per year",
"1960","Ice cream","Litres per person, per year","10.47"
"1960","Ice cream, milk solids","Kilograms per person, per year","1.29"
"1960","Standard milk 3.25%","Litres per person, per year","72.78"
"1960","Standard milk 3.25%, milk solids","Kilograms per person, per year","8.99"
"1960","Buttermilk","Litres per person, per year",
"1960","Buttermilk, milk solids","Kilograms per person, per year",
"1960","Partly skimmed milk 2%","Litres per person, per year",
"1960","Partly skimmed milk 2%, milk solids","Kilograms per person, per year",
"1960","Skim milk","Litres per person, per year","3.47"
"1960","Skim milk, milk solids","Kilograms per person, per year","0.34"
"1960","Chocolate and other flavoured milk","Litres per person, per year","2.16"
"1960","Chocolate and other flavoured milk, milk solids","Kilograms per person, per year","0.23"
"1960","Yogurt","Litres per person, per year","0.04"
"1960","Chicken, eviscerated weight","Kilograms per person, per year","9.53"
"1960","Turkey, boneless weight","Kilograms per person, per year","2.27"
"1960","Turkey, eviscerated weight","Kilograms per person, per year","2.88"
"1960","Eggs","Kilograms per person, per year","15.63"
"1960","Pork, carcass weight","Kilograms per person, per year","25.88"
"1960","Pork, boneless weight","Kilograms per person, per year","16.17"
"1960","Pork","Kilograms per person, per year","20.70"
"1960","Beef, carcass weight","Kilograms per person, per year","31.66"
"1960","Beef, boneless weight","Kilograms per person, per year","21.81"
"1960","Beef","Kilograms per person, per year","24.06"
"1960","Veal, carcass weight","Kilograms per person, per year","3.12"
"1960","Veal, boneless weight","Kilograms per person, per year","2.14"
"1960","Veal","Kilograms per person, per year","2.66"
"1960","Beef and veal total, carcass weight","Kilograms per person, per year","34.78"
"1960","Beef and veal total, boneless weight","Kilograms per person, per year","23.95"
"1960","Beef and veal total","Kilograms per person, per year","26.73"
"1960","Mutton and lamb, carcass weight","Kilograms per person, per year","1.33"
"1960","Mutton and lamb, boneless weight","Kilograms per person, per year","0.87"
"1960","Mutton and lamb","Kilograms per person, per year","1.18"
"1960","Offal, carcass weight","Kilograms per person, per year","2.15"
"1960","Offal, boneless weight","Kilograms per person, per year","2.15"
"1960","Offal","Kilograms per person, per year","2.15"
"1960","Butter","Kilograms per person, per year","7.34"
"1960","Butter, milk solids","Kilograms per person, per year","5.87"
"1960","Butter, fat content","Kilograms per person, per year","5.87"
"1960","Margarine","Kilograms per person, per year","4.22"
"1960","Margarine, fat content","Kilograms per person, per year","3.42"
"1960","Salad oils","Kilograms per person, per year","1.42"
"1960","Salad oils, fat content","Kilograms per person, per year","1.42"
"1960","Shortening and shortening oils","Kilograms per person, per year","4.23"
"1960","Shortening and shortening oils, fat content","Kilograms per person, per year","4.23"
"1960","Apples fresh","Kilograms per person, per year","8.71"
"1960","Apples fresh, fresh equivalent","Kilograms per person, per year","8.71"
"1960","Apples canned","Kilograms per person, per year","0.27"
"1960","Apples canned, fresh equivalent","Kilograms per person, per year","0.44"
"1960","Apples dried","Kilograms per person, per year","0.03"
"1960","Apples dried, fresh equivalent","Kilograms per person, per year","0.24"
"1960","Apples frozen","Kilograms per person, per year","0.06"
"1960","Apples frozen, fresh equivalent","Kilograms per person, per year","0.09"
"1960","Apple juice","Kilograms per person, per year","2.15"
"1960","Apple juice, fresh equivalent","Kilograms per person, per year","2.97"
"1960","Apple juice","Litres per person, per year","2.06"
"1960","Apple pie filling","Kilograms per person, per year","0.22"
"1960","Apple pie filling, fresh equivalent","Kilograms per person, per year","0.34"
