Commodity,Category
"Ale, beer, stout and porter",Beverages
Apple juice,Fruits
Apple pie filling,Fruits
Apple sauce,Fruits
Apples canned,Fruits
Apples dried,Fruits
Apples fresh,Fruits
Apples frozen,Fruits
Apricots canned,Fruits
Apricots fresh,Fruits
Artichokes fresh,Vegetables
Asparagus canned,Vegetables
Asparagus fresh,Vegetables
Avocados fresh,Vegetables
Baked and canned beans,Vegetables
Bananas fresh,Fruits
Beans green and wax canned,Vegetables
Beans green and wax fresh,Vegetables
Beans green and wax frozen,Vegetables
Beef,Meats
Beef and veal total,Meats
Beets canned,Vegetables
Beets fresh,Vegetables
Berries other fresh,Fruits
Blueberries canned,Fruits
Blueberries fresh,Fruits
Blueberries frozen,Fruits
Bottled water,Beverages
Breakfast food,Miscellaneous
Broccoli fresh,Vegetables
Broccoli frozen,Vegetables
Brussels sprouts fresh,Vegetables
Brussels sprouts frozen,Vegetables
Butter,Oils
Buttermilk,Dairy
Cabbage fresh,Vegetables
Carrots canned,Vegetables
Carrots fresh,Vegetables
Carrots frozen,Vegetables
Cauliflower fresh,Vegetables
Cauliflower frozen,Vegetables
Celery fresh,Vegetables
Cereal cream 10%,Dairy
Cheddar cheese,Dairy
Cherries fresh,Fruits
Cherries frozen,Fruits
Chicken,Meats
Chicken and stewing hen total,Meats
Chinese cabbage fresh,Vegetables
Chocolate and other flavoured milk,Dairy
"Ciders, cooler and other refreshment beverages",Beverages
Cocoa,Miscellaneous
Coconut fresh,Fruits
Coffee,Beverages
Concentrated skim milk,Dairy
Concentrated whole milk,Dairy
Corn canned,Vegetables
Corn flour and meal,Staples
Corn fresh,Vegetables
Corn frozen,Vegetables
Cottage cheese,Dairy
Cranberries fresh,Fruits
Cucumbers fresh,Vegetables
Dates fresh,Fruits
Distilled spirits,Beverages
Dry beans,Vegetables
Dry peas,Vegetables
Eggplants fresh,Vegetables
Eggs,Meats
Figs fresh,Fruits
Fresh and frozen sea fish,Fish
Freshwater fish,Fish
Fruits not specified canned,Fruits
Fruits not specified dried,Fruits
Fruits not specified fresh,Fruits
Fruits not specified frozen,Fruits
Garlic fresh,Vegetables
Grape juice,Fruits
Grapefruit juice,Fruits
Grapefruits fresh,Fruits
Grapes fresh,Fruits
Guavas and mangoes fresh,Fruits
Honey,Miscellaneous
Ice cream,Dairy
Ice milk,Dairy
Kale fresh,Vegetables
Kiwis fresh,Fruits
Kohlrabi fresh,Vegetables
Leeks fresh,Vegetables
Lemon juice,Fruits
Lemons fresh,Fruits
Lettuce fresh,Vegetables
Lima beans frozen,Vegetables
Limes fresh,Fruits
Mandarins fresh,Fruits
Manioc fresh,Vegetables
Maple sugar,Miscellaneous
Margarine,Oils
Melons total fresh,Fruits
"Melons, musk and cantaloups fresh",Fruits
Milkshake,Dairy
Mushrooms canned,Vegetables
Mushrooms fresh,Vegetables
Mutton and lamb,Meats
Nectarines fresh,Fruits
Oatmeal and rolled oats,Staples
Offal,Meats
Okra fresh,Vegetables
Olives fresh,Vegetables
Onions and shallots fresh,Vegetables
Orange juice,Fruits
Oranges fresh,Fruits
Other citrus fresh,Fruits
Other edible roots fresh,Vegetables
Other fresh melons,Fruits
Other leguminous vegetables fresh,Vegetables
Other whole milk products,Dairy
Papayas fresh,Fruits
Parsley fresh,Vegetables
Parsnips fresh,Vegetables
Partly skimmed milk 1%,Dairy
Partly skimmed milk 2%,Dairy
Peaches canned,Fruits
Peaches fresh,Fruits
Peanuts,Miscellaneous
Pears canned,Fruits
Pears fresh,Fruits
Peas canned,Vegetables
Peas fresh,Vegetables
Peas frozen,Vegetables
Peppers fresh,Vegetables
Pineapple juice,Fruits
Pineapples canned,Fruits
Pineapples fresh,Fruits
Plums total fresh,Fruits
Pork,Meats
Pot and pearl barley,Staples
Potatoes chips,Vegetables
Potatoes frozen,Vegetables
Potatoes other processed,Vegetables
Potatoes sweet fresh,Vegetables
Potatoes total processed,Vegetables
Potatoes white fresh,Vegetables
Potatoes white fresh and processed,Vegetables
Powder buttermilk,Dairy
Powder skim milk,Dairy
Powder whey,Dairy
Processed cheese,Dairy
Processed sea fish,Fish
Pumpkins and squash fresh,Vegetables
Quinces fresh,Vegetables
Radishes fresh,Vegetables
Rappini fresh,Vegetables
Raspberries frozen,Fruits
Rice,Staples
Rutabagas and turnip fresh,Vegetables
Rye flour,Staples
Salad oils,Oils
Sherbet,Dairy
Shortening and shortening oils,Oils
Skim milk,Dairy
Soft drinks,Beverages
Sour cream,Dairy
Spinach fresh,Vegetables
Spinach frozen,Vegetables
Standard milk 3.25%,Dairy
Stewing hen,Meats
Strawberries canned,Fruits
Strawberries fresh,Fruits
Strawberries frozen,Fruits
Sugar refined,Miscellaneous
Sweetened concentrated skim milk,Dairy
Sweetened concentrated whole milk,Dairy
Table cream 18%,Dairy
Tea,Beverages
Tomato juice,Vegetables
Tomatoes canned,Vegetables
Tomatoes fresh,Vegetables
"Tomatoes, pulp, paste and puree",Vegetables
Total shellfish,Fish
Tree nuts,Miscellaneous
Turkey,Meats
Variety cheese,Dairy
Veal,Meats
Vegetables not specified canned,Vegetables
Vegetables not specified fresh,Vegetables
Vegetables not specified frozen,Vegetables
Watermelons fresh,Fruits
Wheat flour,Staples
Whipping cream 32% or 35%,Dairy
Wines,Beverages
Wintermelons fresh,Fruits
Yogurt,Dairy
