"Year","Commodity","Supply and disposition","VALUE"
"1960","Wheat flour","Total supply","1934.34"
"1960","Wheat flour","Beginning stocks","87.07"
"1960","Wheat flour","Production","1847.19"
"1960","Wheat flour","Imports","0.08"
"1960","Wheat flour","Total disposition","1842.27"
"1960","Wheat flour","Domestic disappearance","1060.01"
"1960","Wheat flour","Exports","715.56"
"1960","Wheat flour","Manufacturing","45.07"
"1960","Wheat flour","Waste","21.63"
"1960","Wheat flour","Ending stocks","92.07"
"1960","Rye flour","Total supply","8.60"
"1960","Rye flour","Beginning stocks","0.38"
"1960","Rye flour","Production","7.88"
"1960","Rye flour","Imports","0.34"
"1960","Rye flour","Total disposition","8.36"
"1960","Rye flour","Domestic disappearance","8.19"
"1960","Rye flour","Waste","0.17"
"1960","Rye flour","Ending stocks","0.24"
"1960","Oatmeal and rolled oats","Total supply","44.07"
"1960","Oatmeal and rolled oats","Beginning stocks","1.69"
"1960","Oatmeal and rolled oats","Production","42.38"
"1960","Oatmeal and rolled oats","Total disposition","42.52"
"1960","Oatmeal and rolled oats","Domestic disappearance","38.43"
"1960","Oatmeal and rolled oats","Exports","3.31"
"1960","Oatmeal and rolled oats","Waste","0.78"
"1960","Oatmeal and rolled oats","Ending stocks","1.55"
"1960","Pot and pearl barley","Total supply","1.67"
"1960","Pot and pearl barley","Beginning stocks","0.11"
"1960","Pot and pearl barley","Production","1.56"
"1960","Pot and pearl barley","Total disposition","1.60"
"1960","Pot and pearl barley","Domestic disappearance","1.57"
"1960","Pot and pearl barley","Exports","0.01"
"1960","Pot and pearl barley","Waste","0.02"
"1960","Pot and pearl barley","Ending stocks","0.07"
"1960","Corn flour and meal","Total supply","16.41"
"1960","Corn flour and meal","Beginning stocks","0.25"
"1960","Corn flour and meal","Production","9.00"
"1960","Corn flour and meal","Imports","7.16"
"1960","Corn flour and meal","Total disposition","16.13"
"1960","Corn flour and meal","Domestic disappearance","13.35"
"1960","Corn flour and meal","Exports","2.51"
"1960","Corn flour and meal","Waste","0.27"
"1960","Corn flour and meal","Ending stocks","0.28"
"1960","Rice","Total supply","37.81"
"1960","Rice","Imports","37.81"
"1960","Rice","Total disposition","37.81"
"1960","Rice","Domestic disappearance","35.90"
"1960","Rice","Exports","1.53"
"1960","Rice","Waste","0.38"
"1960","Breakfast food","Total supply","54.70"
"1960","Breakfast food","Production","54.70"
"1960","Breakfast food","Total disposition","54.70"
"1960","Breakfast food","Domestic disappearance","54.70"
"1960","Sugar refined","Total supply","960.35"
"1960","Sugar refined","Beginning stocks","156.14"
"1960","Sugar refined","Production","803.94"
"1960","Sugar refined","Imports","0.27"
"1960","Sugar refined","Total disposition","774.40"
"1960","Sugar refined","Domestic disappearance","764.14"
"1960","Sugar refined","Exports","3.46"
"1960","Sugar refined","Manufacturing","6.80"
"1960","Sugar refined","Ending stocks","185.95"
"1960","Maple sugar","Total supply","11.59"
"1960","Maple sugar","Production","11.59"
"1960","Maple sugar","Total disposition","11.59"
"1960","Maple sugar","Domestic disappearance","5.36"
"1960","Maple sugar","Exports","6.23"
"1960","Honey","Total supply","21.92"
"1960","Honey","Beginning stocks","6.09"
"1960","Honey","Production","14.62"
"1960","Honey","Imports","1.21"
"1960","Honey","Total disposition","15.56"
"1960","Honey","Domestic disappearance","14.35"
"1960","Honey","Exports","1.21"
"1960","Honey","Ending stocks","6.36"
"1960","Dry beans","Total supply","30.99"
"1960","Dry beans","Production","27.05"
"1960","Dry beans","Imports","3.94"
"1960","Dry beans","Total disposition","30.99"
"1960","Dry beans","Domestic disappearance","12.56"
"1960","Dry beans","Exports","1.52"
"1960","Dry beans","Manufacturing","16.37"
"1960","Dry beans","Waste","0.54"
"1960","Baked and canned beans","Total supply","51.66"
"1960","Baked and canned beans","Production","49.83"
"1960","Baked and canned beans","Imports","1.83"
"1960","Baked and canned beans","Total disposition","51.66"
"1960","Baked and canned beans","Domestic disappearance","51.66"
"1960","Dry peas","Total supply","35.03"
"1960","Dry peas","Production","30.45"
"1960","Dry peas","Imports","4.58"
"1960","Dry peas","Total disposition","21.52"
"1960","Dry peas","Domestic disappearance","13.51"
"1960","Dry peas","Exports","6.53"
"1960","Dry peas","Manufacturing","14.38"
"1960","Dry peas","Waste","0.61"
"1960","Peanuts","Total supply","36.56"
"1960","Peanuts","Imports","36.56"
"1960","Peanuts","Total disposition","36.56"
"1960","Peanuts","Domestic disappearance","36.56"
"1960","Tree nuts","Total supply","10.15"
"1960","Tree nuts","Imports","10.15"
"1960","Tree nuts","Total disposition","10.15"
"1960","Tree nuts","Domestic disappearance","10.00"
"1960","Tree nuts","Exports","0.15"
"1960","Tea","Total supply","19.86"
"1960","Tea","Imports","19.86"
"1960","Tea","Total disposition","19.86"
"1960","Tea","Domestic disappearance","19.46"
"1960","Tea","Exports","0.40"
"1960","Coffee","Total supply","67.98"
"1960","Coffee","Imports","67.98"
"1960","Coffee","Total disposition","67.98"
"1960","Coffee","Domestic disappearance","67.88"
"1960","Coffee","Exports","0.10"
"1960","Cocoa","Total supply","27.79"
"1960","Cocoa","Beginning stocks","2.28"
"1960","Cocoa","Imports","25.51"
"1960","Cocoa","Total disposition","23.21"
"1960","Cocoa","Domestic disappearance","23.21"
"1960","Cocoa","Ending stocks","4.58"
"1960","Ale, beer, stout and porter","Total disposition",
"1960","Ale, beer, stout and porter","Domestic disappearance","1070.44"
"1960","Distilled spirits","Total disposition",
