Year,Commodity,Total supply,Beginning stocks,Production,Imports,Total disposition,Domestic disappearance,Exports,Waste,Ending stocks
1960,Wheat flour,1934.34,87.07,45.07,0.08,1842.27,1060.01,715.56,21.63,92.07
1960,Rye flour,8.60,0.38,7.88,0.34,8.36,8.19,,0.17,0.24
1960,Oatmeal and rolled oats,44.07,1.69,42.38,,42.52,38.43,3.31,0.78,1.55
1960,Pot and pearl barley,1.67,0.11,1.56,,1.60,1.57,0.01,0.02,0.07
1960,Corn flour and meal,16.41,0.25,9.00,7.16,16.13,13.35,2.51,0.27,0.28
1960,Rice,37.81,,,37.81,37.81,35.90,1.53,0.38,
1960,Breakfast food,54.70,,54.70,,54.70,54.70,,,
1960,Sugar refined,960.35,156.14,6.80,0.27,774.40,764.14,3.46,,185.95
1960,Maple sugar,11.59,,11.59,,11.59,5.36,6.23,,
1960,Honey,21.92,6.09,14.62,1.21,15.56,14.35,1.21,,6.36
1960,Dry beans,30.99,,16.37,3.94,30.99,12.56,1.52,0.54,
1960,Baked and canned beans,51.66,,49.83,1.83,51.66,51.66,,,
1960,Dry peas,35.03,,14.38,4.58,21.52,13.51,6.53,0.61,
1960,Peanuts,36.56,,,36.56,36.56,36.56,,,
1960,Tree nuts,10.15,,,10.15,10.15,10.00,0.15,,
1960,Tea,19.86,,,19.86,19.86,19.46,0.40,,
1960,Coffee,67.98,,,67.98,67.98,67.88,0.10,,
1960,Cocoa,27.79,2.28,,25.51,23.21,23.21,,,4.58
1960,"Ale, beer, stout and porter",,,,,,1070.44,,,
1960,Distilled spirits,,,,,,67.04,,,
1960,Wines,,,,,,37.74,,,
1960,Soft drinks,,,,,,,,,
1960,Cheddar cheese,73.89,23.83,17.23,,48.59,22.94,8.42,,25.30
1960,Processed cheese,26.89,1.62,25.27,,25.11,25.03,0.08,,1.78
1960,Variety cheese,13.04,1.46,0.71,5.97,11.06,10.33,0.02,,1.98
1960,Cottage cheese,10.13,,10.13,,10.13,10.13,,,
1960,Powder skim milk,87.95,9.95,78.00,,77.42,55.65,21.77,,10.53
1960,Powder buttermilk,4.02,0.31,3.71,,3.51,3.51,,,0.51
1960,Powder whey,7.14,2.13,5.01,,5.49,5.49,,,1.65
1960,Other whole milk products,,,,,,,,,
1960,Concentrated whole milk,153.70,18.96,134.74,,134.38,132.99,1.39,,19.32
1960,Sweetened concentrated whole milk,6.44,0.31,6.13,,6.07,6.07,,,0.37
1960,Concentrated skim milk,1.21,0.04,1.17,,1.17,1.17,,,0.04
1960,Sweetened concentrated skim milk,,0.04,,,,,,,0.06
1960,Milkshake,,,,,,,,,
1960,Ice cream,187.43,,187.43,,187.43,187.43,,,
1960,Sherbet,,,,,,,,,
1960,Ice milk,,,,,,,,,
1960,Standard milk 3.25%,1303.44,,1303.44,,1303.44,1303.44,,,
1960,Buttermilk,,,,,,,,,
1960,Partly skimmed milk 2%,,,,,,,,,
1960,Partly skimmed milk 1%,,,,,,,,,
1960,Skim milk,62.08,,62.08,,62.08,62.08,,,
1960,Chocolate and other flavoured milk,38.70,,38.70,,38.70,38.70,,,
1960,Cereal cream 10%,,,,,,,,,
1960,Table cream 18%,,,,,,,,,
1960,Whipping cream 32% or 35%,,,,,,,,,
1960,Sour cream,,,,,,,,,
1960,Yogurt,0.69,,0.69,,0.69,0.69,,,
1960,Chicken,,,,,,,,,
1960,Stewing hen,,,,,,,,,
1960,Chicken and stewing hen total,,,,,,,,,
1960,Turkey,56.30,5.35,48.83,2.12,,51.50,,,4.80
1960,Eggs,301.69,4.10,10.28,1.21,297.59,279.89,7.42,,4.10
