"REF_DATE","GEO","VALUE"
"1946-01","Canada","12188000"
"1946-04","Canada","12241000"
"1946-07","Canada","12316000"
"1946-10","Canada","12393000"
"1947-01","Canada","12450000"
"1947-04","Canada","12507000"
"1947-07","Canada","12576000"
"1947-10","Canada","12646000"
"1948-01","Canada","12710000"
"1948-04","Canada","12773000"
"1948-07","Canada","12852000"
"1948-10","Canada","12930000"
"1949-01","Canada","12998000"
"1949-04","Canada","13399000"
"1949-07","Canada","13475000"
"1949-10","Canada","13548000"
"1950-01","Canada","13607000"
"1950-04","Canada","13663000"
"1950-07","Canada","13737000"
"1950-10","Canada","13807000"
"1951-01","Canada","13870000"
"1951-04","Canada","13937000"
"1951-07","Canada","14050000"
"1951-07","Newfoundland and Labrador","362000"
"1951-07","Prince Edward Island","99000"
"1951-07","Nova Scotia","643000"
"1951-07","New Brunswick","517000"
"1951-07","Quebec","4066000"
"1951-07","Ontario","4615000"
"1951-07","Manitoba","778000"
"1951-07","Saskatchewan","834000"
"1951-07","Alberta","943000"
"1951-07","British Columbia","1168000"
"1951-07","Yukon","9000"
"1951-07","Northwest Territories including Nunavut","16000"
"1951-10","Canada","14163000"
"1951-10","Newfoundland and Labrador","365000"
"1951-10","Prince Edward Island","99000"
"1951-10","Nova Scotia","646000"
"1951-10","New Brunswick","519000"
"1951-10","Quebec","4095000"
"1951-10","Ontario","4665000"
"1951-10","Manitoba","784000"
"1951-10","Saskatchewan","836000"
"1951-10","Alberta","950000"
"1951-10","British Columbia","1179000"
"1951-10","Yukon","9000"
"1951-10","Northwest Territories including Nunavut","16000"
"1952-01","Canada","14277000"
"1952-01","Newfoundland and Labrador","368000"
"1952-01","Prince Edward Island","100000"
"1952-01","Nova Scotia","647000"
"1952-01","New Brunswick","521000"
"1952-01","Quebec","4126000"
"1952-01","Ontario","4717000"
"1952-01","Manitoba","789000"
"1952-01","Saskatchewan","836000"
"1952-01","Alberta","959000"
"1952-01","British Columbia","1189000"
"1952-01","Yukon","9000"
"1952-01","Northwest Territories including Nunavut","16000"
"1952-04","Canada","14376000"
"1952-04","Newfoundland and Labrador","371000"
"1952-04","Prince Edward Island","100000"
"1952-04","Nova Scotia","651000"
"1952-04","New Brunswick","524000"
"1952-04","Quebec","4153000"
"1952-04","Ontario","4757000"
"1952-04","Manitoba","794000"
"1952-04","Saskatchewan","838000"
"1952-04","Alberta","965000"
"1952-04","British Columbia","1198000"
"1952-04","Yukon","9000"
"1952-04","Northwest Territories including Nunavut","16000"
"1952-07","Canada","14496000"
"1952-07","Newfoundland and Labrador","375000"
"1952-07","Prince Edward Island","100000"
"1952-07","Nova Scotia","654000"
"1952-07","New Brunswick","527000"
"1952-07","Quebec","4183000"
"1952-07","Ontario","4802000"
"1952-07","Manitoba","799000"
"1952-07","Saskatchewan","845000"
"1952-07","Alberta","977000"
"1952-07","British Columbia","1209000"
"1952-07","Yukon","9000"
"1952-07","Northwest Territories including Nunavut","16000"
"1952-10","Canada","14598000"
"1952-10","Newfoundland and Labrador","377000"
"1952-10","Prince Edward Island","101000"
"1952-10","Nova Scotia","657000"
"1952-10","New Brunswick","529000"
"1952-10","Quebec","4209000"
"1952-10","Ontario","4841000"
"1952-10","Manitoba","802000"
"1952-10","Saskatchewan","850000"
"1952-10","Alberta","985000"
"1952-10","British Columbia","1222000"
"1952-10","Yukon","9000"
"1952-10","Northwest Territories including Nunavut","16000"
"1953-01","Canada","14682000"
"1953-01","Newfoundland and Labrador","379000"
"1953-01","Prince Edward Island","101000"
"1953-01","Nova Scotia","660000"
"1953-01","New Brunswick","530000"
"1953-01","Quebec","4228000"
"1953-01","Ontario","4876000"
"1953-01","Manitoba","804000"
"1953-01","Saskatchewan","852000"
"1953-01","Alberta","994000"
"1953-01","British Columbia","1233000"
"1953-01","Yukon","9000"
"1953-01","Northwest Territories including Nunavut","16000"
"1953-04","Canada","14763000"
"1953-04","Newfoundland and Labrador","382000"
"1953-04","Prince Edward Island","101000"
"1953-04","Nova Scotia","662000"
"1953-04","New Brunswick","532000"
"1953-04","Quebec","4249000"
"1953-04","Ontario","4907000"
"1953-04","Manitoba","806000"
"1953-04","Saskatchewan","855000"
"1953-04","Alberta","1002000"
"1953-04","British Columbia","1242000"
"1953-04","Yukon","9000"
"1953-04","Northwest Territories including Nunavut","16000"
"1953-07","Canada","14886000"
"1953-07","Newfoundland and Labrador","384000"
"1953-07","Prince Edward Island","101000"
"1953-07","Nova Scotia","664000"
"1953-07","New Brunswick","533000"
"1953-07","Quebec","4281000"
"1953-07","Ontario","4956000"
"1953-07","Manitoba","810000"
"1953-07","Saskatchewan","863000"
"1953-07","Alberta","1016000"
"1953-07","British Columbia","1253000"
"1953-07","Yukon","9000"
"1953-07","Northwest Territories including Nunavut","16000"
"1953-10","Canada","15001000"
"1953-10","Newfoundland and Labrador","387000"
"1953-10","Prince Edward Island","101000"
"1953-10","Nova Scotia","667000"
"1953-10","New Brunswick","535000"
"1953-10","Quebec","4310000"
"1953-10","Ontario","5002000"
"1953-10","Manitoba","814000"
"1953-10","Saskatchewan","866000"
"1953-10","Alberta","1029000"
"1953-10","British Columbia","1265000"
"1953-10","Yukon","9000"
"1953-10","Northwest Territories including Nunavut","16000"
"1954-01","Canada","15105000"
"1954-01","Newfoundland and Labrador","390000"
"1954-01","Prince Edward Island","101000"
"1954-01","Nova Scotia","668000"
"1954-01","New Brunswick","537000"
"1954-01","Quebec","4337000"
"1954-01","Ontario","5047000"
"1954-01","Manitoba","816000"
"1954-01","Saskatchewan","867000"
"1954-01","Alberta","1039000"
"1954-01","British Columbia","1278000"
"1954-01","Yukon","9000"
"1954-01","Northwest Territories including Nunavut","16000"
"1954-04","Canada","15199000"
"1954-04","Newfoundland and Labrador","393000"
"1954-04","Prince Edward Island","101000"
"1954-04","Nova Scotia","670000"
"1954-04","New Brunswick","538000"
"1954-04","Quebec","4365000"
"1954-04","Ontario","5082000"
"1954-04","Manitoba","819000"
"1954-04","Saskatchewan","869000"
"1954-04","Alberta","1047000"
"1954-04","British Columbia","1288000"
"1954-04","Yukon","10000"
"1954-04","Northwest Territories including Nunavut","17000"
"1954-07","Canada","15330000"
"1954-07","Newfoundland and Labrador","396000"
"1954-07","Prince Edward Island","101000"
"1954-07","Nova Scotia","674000"
"1954-07","New Brunswick","541000"
"1954-07","Quebec","4402000"
"1954-07","Ontario","5130000"
"1954-07","Manitoba","825000"
"1954-07","Saskatchewan","874000"
"1954-07","Alberta","1061000"
"1954-07","British Columbia","1299000"
"1954-07","Yukon","10000"
"1954-07","Northwest Territories including Nunavut","17000"
"1954-10","Canada","15444000"
"1954-10","Newfoundland and Labrador","399000"
"1954-10","Prince Edward Island","101000"
"1954-10","Nova Scotia","676000"
"1954-10","New Brunswick","543000"
"1954-10","Quebec","4436000"
"1954-10","Ontario","5174000"
"1954-10","Manitoba","830000"
"1954-10","Saskatchewan","877000"
"1954-10","Alberta","1070000"
"1954-10","British Columbia","1311000"
"1954-10","Yukon","10000"
"1954-10","Northwest Territories including Nunavut","17000"
"1955-01","Canada","15535000"
"1955-01","Newfoundland and Labrador","401000"
"1955-01","Prince Edward Island","100000"
"1955-01","Nova Scotia","678000"
"1955-01","New Brunswick","544000"
"1955-01","Quebec","4465000"
"1955-01","Ontario","5208000"
"1955-01","Manitoba","833000"
"1955-01","Saskatchewan","877000"
"1955-01","Alberta","1078000"
"1955-01","British Columbia","1323000"
"1955-01","Yukon","11000"
"1955-01","Northwest Territories including Nunavut","17000"
"1955-04","Canada","15620000"
"1955-04","Newfoundland and Labrador","404000"
"1955-04","Prince Edward Island","100000"
"1955-04","Nova Scotia","681000"
"1955-04","New Brunswick","546000"
"1955-04","Quebec","4492000"
"1955-04","Ontario","5236000"
"1955-04","Manitoba","837000"
"1955-04","Saskatchewan","877000"
"1955-04","Alberta","1084000"
"1955-04","British Columbia","1334000"
"1955-04","Yukon","11000"
"1955-04","Northwest Territories including Nunavut","18000"
"1955-07","Canada","15736000"
"1955-07","Newfoundland and Labrador","407000"
"1955-07","Prince Edward Island","100000"
"1955-07","Nova Scotia","684000"
"1955-07","New Brunswick","548000"
"1955-07","Quebec","4529000"
